,Weight,Casual,Gaming,ThinNlight
372,Casual,1.0,0.0,0.0
373,Casual,1.0,0.0,0.0
374,Casual,1.0,0.0,0.0
375,Casual,1.0,0.0,0.0
376,Casual,1.0,0.0,0.0
377,Casual,1.0,0.0,0.0
378,Casual,1.0,0.0,0.0
379,Gaming,0.0,1.0,0.0
380,ThinNlight,0.0,0.0,1.0
381,ThinNlight,0.0,0.0,1.0
382,Casual,1.0,0.0,0.0
383,Casual,1.0,0.0,0.0
384,ThinNlight,0.0,0.0,1.0
385,Casual,1.0,0.0,0.0
386,Casual,1.0,0.0,0.0
387,Casual,1.0,0.0,0.0
388,ThinNlight,0.0,0.0,1.0
389,Casual,1.0,0.0,0.0
390,ThinNlight,0.0,0.0,1.0
391,Casual,1.0,0.0,0.0
392,Casual,1.0,0.0,0.0
393,Gaming,0.0,1.0,0.0
394,Gaming,0.0,1.0,0.0
395,Casual,1.0,0.0,0.0
396,Casual,1.0,0.0,0.0
397,Casual,1.0,0.0,0.0
398,Casual,1.0,0.0,0.0
399,Casual,1.0,0.0,0.0
400,Casual,1.0,0.0,0.0
401,ThinNlight,0.0,0.0,1.0
402,ThinNlight,0.0,0.0,1.0
403,ThinNlight,0.0,0.0,1.0
404,ThinNlight,0.0,0.0,1.0
405,Casual,1.0,0.0,0.0
406,ThinNlight,0.0,0.0,1.0
407,ThinNlight,0.0,0.0,1.0
408,Casual,1.0,0.0,0.0
409,ThinNlight,0.0,0.0,1.0
410,Casual,1.0,0.0,0.0
411,Casual,1.0,0.0,0.0
412,Casual,1.0,0.0,0.0
413,Casual,1.0,0.0,0.0
414,ThinNlight,0.0,0.0,1.0
415,Casual,1.0,0.0,0.0
416,Casual,1.0,0.0,0.0
417,ThinNlight,0.0,0.0,1.0
418,ThinNlight,0.0,0.0,1.0
419,Casual,1.0,0.0,0.0
420,Casual,1.0,0.0,0.0
421,Casual,1.0,0.0,0.0
422,Casual,1.0,0.0,0.0
423,Casual,1.0,0.0,0.0
424,Casual,1.0,0.0,0.0
425,Casual,1.0,0.0,0.0
426,Casual,1.0,0.0,0.0
427,Casual,1.0,0.0,0.0
428,Casual,1.0,0.0,0.0
429,Casual,1.0,0.0,0.0
430,Casual,1.0,0.0,0.0
431,Casual,1.0,0.0,0.0
432,Gaming,0.0,1.0,0.0
433,Casual,1.0,0.0,0.0
434,Casual,1.0,0.0,0.0
435,Casual,1.0,0.0,0.0
436,ThinNlight,0.0,0.0,1.0
437,Casual,1.0,0.0,0.0
438,Casual,1.0,0.0,0.0
439,Casual,1.0,0.0,0.0
440,Casual,1.0,0.0,0.0
441,Casual,1.0,0.0,0.0
442,Gaming,0.0,1.0,0.0
443,Casual,1.0,0.0,0.0
444,ThinNlight,0.0,0.0,1.0
445,Casual,1.0,0.0,0.0
446,ThinNlight,0.0,0.0,1.0
447,ThinNlight,0.0,0.0,1.0
448,Gaming,0.0,1.0,0.0
449,Casual,1.0,0.0,0.0
450,Casual,1.0,0.0,0.0
451,Casual,1.0,0.0,0.0
452,ThinNlight,0.0,0.0,1.0
453,Gaming,0.0,1.0,0.0
454,Casual,1.0,0.0,0.0
455,Casual,1.0,0.0,0.0
456,Casual,1.0,0.0,0.0
457,Casual,1.0,0.0,0.0
458,Casual,1.0,0.0,0.0
459,ThinNlight,0.0,0.0,1.0
460,Casual,1.0,0.0,0.0
461,Gaming,0.0,1.0,0.0
462,Casual,1.0,0.0,0.0
463,Casual,1.0,0.0,0.0
464,Casual,1.0,0.0,0.0
465,Casual,1.0,0.0,0.0
466,Casual,1.0,0.0,0.0
467,Casual,1.0,0.0,0.0
468,ThinNlight,0.0,0.0,1.0
469,Casual,1.0,0.0,0.0
470,Gaming,0.0,1.0,0.0
471,Casual,1.0,0.0,0.0
472,Gaming,0.0,1.0,0.0
473,Casual,1.0,0.0,0.0
474,Casual,1.0,0.0,0.0
475,Casual,1.0,0.0,0.0
476,Gaming,0.0,1.0,0.0
477,Casual,1.0,0.0,0.0
478,Casual,1.0,0.0,0.0
479,Casual,1.0,0.0,0.0
480,ThinNlight,0.0,0.0,1.0
481,Casual,1.0,0.0,0.0
482,Casual,1.0,0.0,0.0
483,Gaming,0.0,1.0,0.0
484,Casual,1.0,0.0,0.0
485,Casual,1.0,0.0,0.0
486,Gaming,0.0,1.0,0.0
487,Casual,1.0,0.0,0.0
488,Casual,1.0,0.0,0.0
489,Casual,1.0,0.0,0.0
490,Casual,1.0,0.0,0.0
491,Casual,1.0,0.0,0.0
492,Casual,1.0,0.0,0.0
493,ThinNlight,0.0,0.0,1.0
494,ThinNlight,0.0,0.0,1.0
495,Casual,1.0,0.0,0.0
496,Gaming,0.0,1.0,0.0
497,Casual,1.0,0.0,0.0
498,ThinNlight,0.0,0.0,1.0
499,Casual,1.0,0.0,0.0
500,ThinNlight,0.0,0.0,1.0
501,ThinNlight,0.0,0.0,1.0
502,Casual,1.0,0.0,0.0
503,Casual,1.0,0.0,0.0
504,Casual,1.0,0.0,0.0
505,ThinNlight,0.0,0.0,1.0
506,ThinNlight,0.0,0.0,1.0
507,ThinNlight,0.0,0.0,1.0
508,ThinNlight,0.0,0.0,1.0
509,ThinNlight,0.0,0.0,1.0
510,Casual,1.0,0.0,0.0
511,Casual,1.0,0.0,0.0
512,ThinNlight,0.0,0.0,1.0
513,Casual,1.0,0.0,0.0
514,ThinNlight,0.0,0.0,1.0
515,Casual,1.0,0.0,0.0
516,Casual,1.0,0.0,0.0
517,Casual,1.0,0.0,0.0
518,Casual,1.0,0.0,0.0
519,Gaming,0.0,1.0,0.0
520,Casual,1.0,0.0,0.0
521,ThinNlight,0.0,0.0,1.0
522,Casual,1.0,0.0,0.0
523,Casual,1.0,0.0,0.0
524,Casual,1.0,0.0,0.0
525,Casual,1.0,0.0,0.0
526,Casual,1.0,0.0,0.0
527,Casual,1.0,0.0,0.0
528,Casual,1.0,0.0,0.0
529,Casual,1.0,0.0,0.0
530,Casual,1.0,0.0,0.0
531,Casual,1.0,0.0,0.0
532,Casual,1.0,0.0,0.0
533,Casual,1.0,0.0,0.0
534,Casual,1.0,0.0,0.0
535,Casual,1.0,0.0,0.0
536,Casual,1.0,0.0,0.0
537,Casual,1.0,0.0,0.0
538,Casual,1.0,0.0,0.0
539,Casual,1.0,0.0,0.0
540,Casual,1.0,0.0,0.0
541,Casual,1.0,0.0,0.0
542,Casual,1.0,0.0,0.0
543,Casual,1.0,0.0,0.0
544,Casual,1.0,0.0,0.0
545,Casual,1.0,0.0,0.0
546,ThinNlight,0.0,0.0,1.0
547,Casual,1.0,0.0,0.0
548,Casual,1.0,0.0,0.0
549,Casual,1.0,0.0,0.0
550,ThinNlight,0.0,0.0,1.0
551,Casual,1.0,0.0,0.0
552,Casual,1.0,0.0,0.0
553,ThinNlight,0.0,0.0,1.0
554,Casual,1.0,0.0,0.0
555,Casual,1.0,0.0,0.0
556,Casual,1.0,0.0,0.0
557,Casual,1.0,0.0,0.0
558,Casual,1.0,0.0,0.0
559,Casual,1.0,0.0,0.0
