,Weight,Casual,Gaming,ThinNlight
136,ThinNlight,0.0,0.0,1.0
137,Casual,1.0,0.0,0.0
138,ThinNlight,0.0,0.0,1.0
139,Casual,1.0,0.0,0.0
140,ThinNlight,0.0,0.0,1.0
141,ThinNlight,0.0,0.0,1.0
142,ThinNlight,0.0,0.0,1.0
143,Casual,1.0,0.0,0.0
144,ThinNlight,0.0,0.0,1.0
145,ThinNlight,0.0,0.0,1.0
146,ThinNlight,0.0,0.0,1.0
147,ThinNlight,0.0,0.0,1.0
148,ThinNlight,0.0,0.0,1.0
149,Casual,1.0,0.0,0.0
150,Casual,1.0,0.0,0.0
151,ThinNlight,0.0,0.0,1.0
152,ThinNlight,0.0,0.0,1.0
153,Casual,1.0,0.0,0.0
154,ThinNlight,0.0,0.0,1.0
155,Casual,1.0,0.0,0.0
156,Casual,1.0,0.0,0.0
157,Casual,1.0,0.0,0.0
158,Casual,1.0,0.0,0.0
159,Casual,1.0,0.0,0.0
160,Casual,1.0,0.0,0.0
161,Casual,1.0,0.0,0.0
162,Casual,1.0,0.0,0.0
163,Casual,1.0,0.0,0.0
164,Casual,1.0,0.0,0.0
165,ThinNlight,0.0,0.0,1.0
166,ThinNlight,0.0,0.0,1.0
167,Casual,1.0,0.0,0.0
168,ThinNlight,0.0,0.0,1.0
169,Casual,1.0,0.0,0.0
170,Casual,1.0,0.0,0.0
171,Casual,1.0,0.0,0.0
172,ThinNlight,0.0,0.0,1.0
173,Casual,1.0,0.0,0.0
174,ThinNlight,0.0,0.0,1.0
175,ThinNlight,0.0,0.0,1.0
176,Casual,1.0,0.0,0.0
177,Casual,1.0,0.0,0.0
178,ThinNlight,0.0,0.0,1.0
179,ThinNlight,0.0,0.0,1.0
180,ThinNlight,0.0,0.0,1.0
181,Casual,1.0,0.0,0.0
182,ThinNlight,0.0,0.0,1.0
183,ThinNlight,0.0,0.0,1.0
184,Casual,1.0,0.0,0.0
185,Casual,1.0,0.0,0.0
186,Casual,1.0,0.0,0.0
187,Casual,1.0,0.0,0.0
188,Casual,1.0,0.0,0.0
189,Casual,1.0,0.0,0.0
190,Casual,1.0,0.0,0.0
191,Casual,1.0,0.0,0.0
192,Casual,1.0,0.0,0.0
193,Casual,1.0,0.0,0.0
194,Casual,1.0,0.0,0.0
195,Casual,1.0,0.0,0.0
196,Casual,1.0,0.0,0.0
197,ThinNlight,0.0,0.0,1.0
198,ThinNlight,0.0,0.0,1.0
199,Casual,1.0,0.0,0.0
200,Casual,1.0,0.0,0.0
201,ThinNlight,0.0,0.0,1.0
202,Casual,1.0,0.0,0.0
203,ThinNlight,0.0,0.0,1.0
204,ThinNlight,0.0,0.0,1.0
205,ThinNlight,0.0,0.0,1.0
206,ThinNlight,0.0,0.0,1.0
