,Os,DOS,Mac,Windows
366,Windows,0.0,0.0,1.0
367,Windows,0.0,0.0,1.0
368,Windows,0.0,0.0,1.0
369,Windows,0.0,0.0,1.0
370,Windows,0.0,0.0,1.0
371,Windows,0.0,0.0,1.0
372,Windows,0.0,0.0,1.0
373,Windows,0.0,0.0,1.0
374,Windows,0.0,0.0,1.0
375,Windows,0.0,0.0,1.0
376,Windows,0.0,0.0,1.0
377,Windows,0.0,0.0,1.0
378,Windows,0.0,0.0,1.0
379,Windows,0.0,0.0,1.0
380,Windows,0.0,0.0,1.0
381,Windows,0.0,0.0,1.0
382,Windows,0.0,0.0,1.0
383,Windows,0.0,0.0,1.0
384,Windows,0.0,0.0,1.0
385,Windows,0.0,0.0,1.0
386,Windows,0.0,0.0,1.0
387,Windows,0.0,0.0,1.0
388,Windows,0.0,0.0,1.0
389,Windows,0.0,0.0,1.0
390,Windows,0.0,0.0,1.0
391,Windows,0.0,0.0,1.0
392,Windows,0.0,0.0,1.0
393,Windows,0.0,0.0,1.0
394,Windows,0.0,0.0,1.0
395,Windows,0.0,0.0,1.0
396,Mac,0.0,1.0,0.0
397,Mac,0.0,1.0,0.0
398,Windows,0.0,0.0,1.0
399,Windows,0.0,0.0,1.0
400,Windows,0.0,0.0,1.0
401,Windows,0.0,0.0,1.0
402,Windows,0.0,0.0,1.0
403,Windows,0.0,0.0,1.0
404,Windows,0.0,0.0,1.0
405,Windows,0.0,0.0,1.0
406,Windows,0.0,0.0,1.0
407,Windows,0.0,0.0,1.0
408,Windows,0.0,0.0,1.0
409,Windows,0.0,0.0,1.0
410,Windows,0.0,0.0,1.0
411,Windows,0.0,0.0,1.0
412,Windows,0.0,0.0,1.0
413,Windows,0.0,0.0,1.0
414,Windows,0.0,0.0,1.0
415,Windows,0.0,0.0,1.0
416,Windows,0.0,0.0,1.0
417,Windows,0.0,0.0,1.0
418,Windows,0.0,0.0,1.0
419,Windows,0.0,0.0,1.0
420,Windows,0.0,0.0,1.0
421,Windows,0.0,0.0,1.0
422,DOS,1.0,0.0,0.0
423,DOS,1.0,0.0,0.0
424,DOS,1.0,0.0,0.0
425,Windows,0.0,0.0,1.0
426,Windows,0.0,0.0,1.0
