,Processor_brand,AMD,Intel,M1
176,Intel,0.0,1.0,0.0
177,Intel,0.0,1.0,0.0
178,Intel,0.0,1.0,0.0
179,Intel,0.0,1.0,0.0
180,Intel,0.0,1.0,0.0
181,Intel,0.0,1.0,0.0
182,Intel,0.0,1.0,0.0
183,Intel,0.0,1.0,0.0
184,Intel,0.0,1.0,0.0
185,Intel,0.0,1.0,0.0
186,Intel,0.0,1.0,0.0
187,Intel,0.0,1.0,0.0
188,Intel,0.0,1.0,0.0
189,Intel,0.0,1.0,0.0
190,Intel,0.0,1.0,0.0
191,Intel,0.0,1.0,0.0
192,Intel,0.0,1.0,0.0
193,Intel,0.0,1.0,0.0
194,Intel,0.0,1.0,0.0
195,Intel,0.0,1.0,0.0
196,Intel,0.0,1.0,0.0
197,Intel,0.0,1.0,0.0
198,Intel,0.0,1.0,0.0
199,Intel,0.0,1.0,0.0
200,Intel,0.0,1.0,0.0
201,Intel,0.0,1.0,0.0
202,Intel,0.0,1.0,0.0
203,Intel,0.0,1.0,0.0
204,Intel,0.0,1.0,0.0
205,Intel,0.0,1.0,0.0
206,Intel,0.0,1.0,0.0
207,Intel,0.0,1.0,0.0
208,Intel,0.0,1.0,0.0
209,Intel,0.0,1.0,0.0
210,Intel,0.0,1.0,0.0
211,Intel,0.0,1.0,0.0
212,Intel,0.0,1.0,0.0
213,Intel,0.0,1.0,0.0
214,Intel,0.0,1.0,0.0
215,Intel,0.0,1.0,0.0
216,Intel,0.0,1.0,0.0
217,Intel,0.0,1.0,0.0
218,Intel,0.0,1.0,0.0
219,Intel,0.0,1.0,0.0
220,Intel,0.0,1.0,0.0
221,Intel,0.0,1.0,0.0
222,Intel,0.0,1.0,0.0
223,Intel,0.0,1.0,0.0
224,Intel,0.0,1.0,0.0
225,Intel,0.0,1.0,0.0
226,Intel,0.0,1.0,0.0
227,Intel,0.0,1.0,0.0
228,Intel,0.0,1.0,0.0
229,Intel,0.0,1.0,0.0
230,Intel,0.0,1.0,0.0
231,Intel,0.0,1.0,0.0
232,Intel,0.0,1.0,0.0
233,Intel,0.0,1.0,0.0
234,Intel,0.0,1.0,0.0
235,Intel,0.0,1.0,0.0
236,Intel,0.0,1.0,0.0
237,Intel,0.0,1.0,0.0
238,Intel,0.0,1.0,0.0
239,Intel,0.0,1.0,0.0
240,Intel,0.0,1.0,0.0
241,Intel,0.0,1.0,0.0
242,Intel,0.0,1.0,0.0
243,Intel,0.0,1.0,0.0
244,Intel,0.0,1.0,0.0
245,Intel,0.0,1.0,0.0
246,Intel,0.0,1.0,0.0
247,Intel,0.0,1.0,0.0
248,Intel,0.0,1.0,0.0
249,Intel,0.0,1.0,0.0
250,Intel,0.0,1.0,0.0
251,Intel,0.0,1.0,0.0
252,Intel,0.0,1.0,0.0
253,Intel,0.0,1.0,0.0
254,Intel,0.0,1.0,0.0
255,Intel,0.0,1.0,0.0
256,Intel,0.0,1.0,0.0
257,Intel,0.0,1.0,0.0
258,Intel,0.0,1.0,0.0
259,Intel,0.0,1.0,0.0
260,Intel,0.0,1.0,0.0
261,Intel,0.0,1.0,0.0
262,Intel,0.0,1.0,0.0
263,Intel,0.0,1.0,0.0
264,Intel,0.0,1.0,0.0
265,Intel,0.0,1.0,0.0
266,Intel,0.0,1.0,0.0
267,Intel,0.0,1.0,0.0
268,Intel,0.0,1.0,0.0
269,Intel,0.0,1.0,0.0
270,Intel,0.0,1.0,0.0
271,Intel,0.0,1.0,0.0
272,Intel,0.0,1.0,0.0
273,Intel,0.0,1.0,0.0
274,Intel,0.0,1.0,0.0
275,Intel,0.0,1.0,0.0
276,Intel,0.0,1.0,0.0
277,Intel,0.0,1.0,0.0
278,Intel,0.0,1.0,0.0
279,Intel,0.0,1.0,0.0
280,Intel,0.0,1.0,0.0
281,Intel,0.0,1.0,0.0
282,Intel,0.0,1.0,0.0
283,Intel,0.0,1.0,0.0
284,Intel,0.0,1.0,0.0
285,Intel,0.0,1.0,0.0
286,Intel,0.0,1.0,0.0
287,Intel,0.0,1.0,0.0
288,Intel,0.0,1.0,0.0
289,Intel,0.0,1.0,0.0
290,Intel,0.0,1.0,0.0
291,Intel,0.0,1.0,0.0
292,Intel,0.0,1.0,0.0
293,Intel,0.0,1.0,0.0
294,Intel,0.0,1.0,0.0
295,Intel,0.0,1.0,0.0
296,Intel,0.0,1.0,0.0
297,Intel,0.0,1.0,0.0
298,Intel,0.0,1.0,0.0
299,Intel,0.0,1.0,0.0
300,Intel,0.0,1.0,0.0
301,Intel,0.0,1.0,0.0
302,Intel,0.0,1.0,0.0
303,Intel,0.0,1.0,0.0
304,Intel,0.0,1.0,0.0
305,Intel,0.0,1.0,0.0
306,Intel,0.0,1.0,0.0
307,Intel,0.0,1.0,0.0
308,Intel,0.0,1.0,0.0
309,Intel,0.0,1.0,0.0
310,Intel,0.0,1.0,0.0
311,Intel,0.0,1.0,0.0
312,Intel,0.0,1.0,0.0
313,Intel,0.0,1.0,0.0
314,Intel,0.0,1.0,0.0
315,Intel,0.0,1.0,0.0
316,Intel,0.0,1.0,0.0
317,Intel,0.0,1.0,0.0
318,Intel,0.0,1.0,0.0
319,Intel,0.0,1.0,0.0
320,Intel,0.0,1.0,0.0
321,Intel,0.0,1.0,0.0
322,Intel,0.0,1.0,0.0
323,Intel,0.0,1.0,0.0
324,Intel,0.0,1.0,0.0
325,Intel,0.0,1.0,0.0
326,Intel,0.0,1.0,0.0
327,Intel,0.0,1.0,0.0
328,Intel,0.0,1.0,0.0
329,Intel,0.0,1.0,0.0
330,Intel,0.0,1.0,0.0
