,Brand,Processor_brand,Processor_name,Processor_gnrtn,Ram_gb,Ram_type,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Rating,Number of ratings,Number of reviews
51,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,38990,4,106,13
52,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,44990,4,42,4
53,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36490,3,0,0
54,Lenovo,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,Casual,1,No,No,38970,3,0,0
55,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44900,4,1029,107
56,MSI,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,38990,4,53,11
57,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,44427,3,0,0
58,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,35990,3,0,0
59,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,40200,3,48,1
60,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,40990,3,3,0
61,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,42490,3,0,0
62,acer,Intel,Celeron Dual,Not Available,4,DDR4,512,512,Windows,32,0,Casual,1,No,No,23990,3,61,4
63,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,No,71999,4,97,13
64,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,39990,4,181,19
65,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,1,No,Yes,41998,4,529,39
66,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,41990,3,0,0
67,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,2,No,Yes,39999,3,0,0
68,ASUS,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,39990,3,0,0
69,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,39998,4,10,1
70,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,5205,561
71,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,41990,3,3,0
72,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,48490,3,0,0
73,HP,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,Yes,44376,4,1090,96
74,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,43900,3,0,0
75,DELL,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,1,No,No,46690,3,0,0
76,Lenovo,Intel,Core i3,10th,4,DDR4,256,0,Windows,32,0,Casual,1,No,No,40990,5,1,1
77,DELL,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,39990,4,44,2
78,Lenovo,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,43990,3,0,0
79,ASUS,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,1,No,No,36990,4,70,9
80,DELL,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,48500,3,0,0
81,ASUS,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,1,No,No,48990,3,0,0
82,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,23490,4,632,92
83,HP,Intel,Core i3,8th,4,DDR4,256,0,Windows,64,0,Casual,1,Yes,Yes,54238,4,71,8
84,ASUS,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,37990,4,990,108
85,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,158,18
86,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,681,59
87,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,35990,4,130,12
88,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,30,4
89,ASUS,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,1,Yes,Yes,51990,4,6,2
90,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,48990,4,174,30
91,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,40,7
92,Lenovo,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,38990,3,13,1
93,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,45990,4,184,29
94,HP,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42490,4,1296,126
95,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,43970,4,571,56
96,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,39990,4,2551,297
97,MSI,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,48990,4,17,3
98,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,54990,4,35,3
99,MSI,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,40990,4,118,17
100,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,0,0
101,Lenovo,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,Yes,No,54990,4,245,34
102,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,44990,4,2058,305
103,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,41250,4,117,11
104,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,44990,3,0,0
105,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,42990,4,74,11
106,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,No,60790,4,10,1
107,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,45650,4,39,4
108,DELL,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,41990,3,29,7
109,DELL,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,45490,4,43,4
110,ASUS,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,44990,3,0,0
111,Lenovo,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,42990,4,984,99
112,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,45490,4,523,66
113,HP,Intel,Core i3,10th,4,DDR4,512,0,Windows,32,0,Casual,1,No,No,38799,4,30,1
114,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,69267,3,0,0
115,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,51649,3,0,0
116,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,47990,4,1605,215
117,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,40990,4,4008,519
118,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,42990,4,1869,234
119,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,44890,3,7,0
120,ASUS,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,41490,4,4008,519
121,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,ThinNlight,1,No,No,50990,3,0,0
122,HP,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,48900,4,1278,135
123,DELL,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,41790,3,0,0
124,Lenovo,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,57999,3,10,2
125,DELL,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,45930,3,0,0
126,HP,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,55490,4,143,15
127,ASUS,Intel,Core i3,10th,8,DDR4,512,1024,Windows,64,0,Casual,1,No,No,32890,3,28,4
128,Lenovo,Intel,Core i3,10th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,35990,4,2124,233
129,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,42490,4,276,40
130,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,42190,3,250,21
131,DELL,Intel,Core i3,10th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,39490,4,1917,189
132,HP,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,43690,4,4999,490
133,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,35990,3,17,0
134,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,43800,4,17,0
135,Lenovo,Intel,Core i3,10th,8,DDR4,512,1024,Windows,32,0,Casual,1,No,No,38990,3,0,0
136,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,34990,3,4203,490
137,ASUS,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,Casual,1,No,No,38900,3,13,0
138,DELL,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,39990,3,15,1
139,DELL,Intel,Core i3,10th,4,DDR4,512,1024,Windows,32,0,Casual,1,No,No,40890,4,527,46
140,Lenovo,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,36990,3,103,10
141,HP,Intel,Core i3,11th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,39990,3,324,45
142,HP,Intel,Core i3,11th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,41990,4,69,5
143,DELL,Intel,Core i3,11th,4,DDR4,512,1024,Windows,32,0,Casual,1,No,No,43970,3,16,0
144,HP,Intel,Core i3,11th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,No,39790,3,40,3
145,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,32,0,ThinNlight,1,No,No,35590,3,12,1
146,HP,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,36490,3,1146,175
147,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,38990,4,1850,216
148,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,32,0,ThinNlight,1,No,No,33990,3,43,7
149,DELL,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,Yes,43400,4,231,26
150,ASUS,Intel,Celeron Dual,Not Available,4,LPDDR4,512,512,Windows,32,0,Casual,1,No,No,24990,4,502,93
151,HP,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,40750,4,1096,116
152,DELL,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,43000,4,313,35
153,ASUS,Intel,Core i3,10th,4,DDR4,512,1024,Windows,64,0,Casual,1,No,No,38000,4,7,0
154,DELL,Intel,Core i3,11th,8,DDR4,512,1024,Windows,64,0,ThinNlight,1,No,Yes,37990,3,265,46
155,HP,Intel,Core i3,7th,8,DDR4,512,1024,Windows,64,2,Casual,1,No,No,49279,4,38,3
