,Brand,Processor_brand,Processor_name,Ram_gb,Ssd,Hdd,Os,Os_bit,Graphic_card_gb,Weight,Warranty,Touchscreen,Msoffice,Price,Number of ratings,Number of reviews
172,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,42990,62,7
173,acer,Intel,Core i3,8,256,1024,Windows,64,0,Casual,1,0,0,40990,38,2
174,DELL,Intel,Core i3,8,256,1024,Windows,64,0,ThinNlight,1,0,0,48990,724,92
175,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,43590,0,0
176,DELL,Intel,Core i3,4,256,1024,Windows,64,0,Casual,1,0,0,44690,9,0
177,ASUS,Intel,Core i3,4,256,1024,Windows,64,0,Casual,1,0,0,40990,0,0
178,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,43990,0,0
179,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,41390,56,7
180,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,44290,0,0
181,DELL,Intel,Core i3,4,256,1024,Windows,64,0,Casual,1,0,0,48999,0,0
182,DELL,Intel,Core i3,4,256,1024,Windows,64,0,ThinNlight,1,0,1,39990,170,11
183,DELL,Intel,Core i3,8,256,1024,Windows,64,0,ThinNlight,1,0,0,46390,95,5
184,ASUS,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,18990,197,25
185,ASUS,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,17990,1180,148
186,HP,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,26470,232,23
187,HP,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,27990,596,65
188,Lenovo,Intel,Celeron Dual,4,512,1024,Windows,32,0,Casual,1,0,0,29999,19,1
189,Lenovo,Intel,Celeron Dual,4,512,512,Windows,64,0,Casual,1,0,0,25990,84,16
190,Lenovo,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,16990,414,54
191,Lenovo,Intel,Celeron Dual,4,512,512,Windows,32,0,Casual,1,0,0,24990,70,16
192,acer,Intel,Core i5,8,512,512,Windows,32,4,Casual,1,0,0,50990,10966,1185
193,acer,Intel,Core i5,8,512,512,Windows,32,0,Casual,1,0,0,119990,1,1
194,acer,Intel,Core i5,8,512,512,DOS,32,0,Casual,1,0,0,94190,31,6
195,ASUS,Intel,Core i5,8,512,512,DOS,32,4,Casual,1,0,0,106167,1881,241
196,DELL,Intel,Core i5,8,512,512,DOS,32,4,Casual,1,0,0,68090,23,4
197,DELL,Intel,Core i5,8,512,512,DOS,32,0,ThinNlight,1,0,0,139990,0,0
198,HP,Intel,Core i5,8,512,512,DOS,32,0,ThinNlight,1,0,0,55990,818,109
199,HP,Intel,Core i5,8,512,512,DOS,32,4,Casual,1,0,0,102551,0,0
200,Lenovo,Intel,Core i5,8,512,512,DOS,32,2,Casual,1,0,0,46990,4428,569
201,HP,Intel,Core i5,8,128,0,Windows,64,0,ThinNlight,1,0,0,76012,129,16
202,Lenovo,Intel,Core i5,8,256,0,Windows,64,0,Casual,2,0,1,49490,365,35
203,acer,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,0,1,86867,39,3
204,ASUS,Intel,Core i5,8,256,0,Windows,64,0,ThinNlight,1,0,0,48990,0,0
